 2289.01 31.830
 2290.18 31.550
 2291.58 30.095
 2294.41 30.503
 2295.96 28.173
 2298.35 26.356
 2300.50 25.539
 2302.61 23.126
 2303.62 28.901
 2304.75 20.834
 2305.69 28.826
 2306.87 19.010
 2308.99 17.033
 2311.12 14.531
 2313.18 12.096
 2315.19 10.452
 2316.15 24.101
 2317.17 9.012
 2319.12 6.863
 2321.09 6.174
 2323.07 5.093
 2324.96 5.109
 2326.83 4.426
 2328.70 3.510
 2330.52 3.084
 2332.34 2.812
 2334.13 3.194
 2335.91 2.875
 2337.64 2.834
 2339.35 2.665
 2341.03 3.124
 2342.70 3.605
 2344.34 4.034
 2345.97 5.525
 2347.54 10.189
 2348.99 22.402
 2349.89 13.882
 2351.43 7.094
 2352.94 5.598
 2354.43 3.195
 2355.86 3.013
 2357.31 2.828
 2358.70 2.141
 2360.08 2.357
 2361.45 2.226
 2362.76 2.516 
 2364.09 2.695
 2365.36 2.994
 2366.61 3.433
 2367.84 4.227
 2369.04 4.905
 2370.23 5.748
 2371.39 6.622
 2372.54 8.139
 2373.62 9.735
 2374.73 11.093
 2375.76 13.003
 2376.80 15.697
 2377.82 17.655
 2378.81 19.862
 2379.77 22.235
 2380.70 24.584
 2381.58 26.486
 2382.47 28.002
 2383.32 29.548
